4,Leather Belt
9,Chainmail Belt
14,Hunter's Coil
19,Bone Coil
24,Vespoid Coil
31,Jagras Coil
36,Kulu Coil
41,Alloy Coil
46,Pukei Coil
51,Barroth Coil
56,Jyura Coil
61,Kadachi Coil
66,High Metal Coil
71,King Beetle Elytra
76,Butterfly Elytra
82,Hornetaur Coil
87,Anja Coil
92,Rathian Coil
97,Tzitzi Coil
102,Lumu Coil
107,Girros Coil
112,Baan Coil
117,Ingot Coil
122,Death Stench Bowels
127,Brigade Coil
132,Legiana Coil
137,Odogaron Coil
142,Rathalos Coil
147,Diablos Coil
152,Kirin Hoop
157,Leather Belt Alpha
162,Leather Belt Beta
167,Chainmail Belt Alpha
172,Chainmail Belt Beta
177,Hunter's Coil Alpha
182,Hunter's Coil Beta
187,Bone Coil Alpha
192,Bone Coil Beta
197,Alloy Coil Alpha
202,Alloy Coil Beta
207,King Beetle Elytra Alpha
212,King Beetle Elytra Beta
217,Butterfly Elytra Alpha
222,Butterfly Elytra Beta
227,Vespoid Coil Alpha
232,Vespoid Coil Beta
237,Hornetaur Coil Alpha
242,Hornetaur Coil Beta
254,Jagras Coil Alpha
259,Jagras Coil Beta
264,Kulu Coil Alpha
269,Kulu Coil Beta
274,Tzitzi Coil Alpha
279,Tzitzi Coil Beta
284,Girros Coil Alpha
289,Girros Coil Beta
294,Pukei Coil Alpha
299,Pukei Coil Beta
304,Barroth Coil Alpha
309,Barroth Coil Beta
314,Anja Coil Alpha
319,Anja Coil Beta
324,Jyura Coil Alpha
329,Jyura Coil Beta
334,Kadachi Coil Alpha
339,Kadachi Coil Beta
344,Lumu Coil Alpha
349,Lumu Coil Beta
354,Rathian Coil Alpha
359,Rathian Coil Beta
364,Rath Heart Coil Alpha
369,Rath Heart Coil Beta
374,Baan Coil Alpha
379,Baan Coil Beta
388,Dodogama Coil Alpha
393,Dodogama Coil Beta
398,Zorah Spine Alpha
403,Zorah Spine Beta
408,High Metal Coil Alpha
413,High Metal Coil Beta
418,Ingot Coil Alpha
423,Ingot Coil Beta
428,Brigade Coil Alpha
433,Brigade Coil Beta
440,Lavasioth Coil Alpha
445,Lavasioth Coil Beta
450,Legiana Coil Alpha
455,Legiana Coil Beta
460,Odogaron Coil Alpha
465,Odogaron Coil Beta
470,Rathalos Coil Alpha
475,Rathalos Coil Beta
480,Rath Soul Coil Alpha
485,Rath Soul Coil Beta
490,Diablos Coil Alpha
495,Diablos Coil Beta
500,Diablos Nero Coil Alpha
505,Diablos Nero Coil Beta
510,Uragaan Coil Alpha
515,Uragaan Coil Beta
520,Bazel Coil Alpha
525,Bazel Coil Beta
530,Damascus Coil Alpha
535,Damascus Coil Beta
540,Dober Coil Alpha
545,Dober Coil Beta
550,Death Stench Bowels Alpha
555,Death Stench Bowels Beta
561,Nergigante Coil Alpha
566,Nergigante Coil Beta
571,Kaiser Coil Alpha
576,Kaiser Coil Beta
581,Kushala Cocoon Alpha
586,Kushala Cocoon Beta
591,Vaal Hazak Coil Alpha
596,Vaal Hazak Coil Beta
601,Kirin Hoop Alpha
606,Kirin Hoop Beta
611,Xeno'jiiva Spine Alpha
616,Xeno'jiiva Spine Beta
621,Guild Cross Coil Alpha
626,Guild Cross Coil Beta
632,Commission Belt Alpha
637,Commission Belt Beta
643,Vangis Coil Alpha
648,Vangis Coil Beta
654,Blossom Coat
664,Blossom Coat Alpha
671,Kulve Taroth's Malice Alpha
676,Kulve Taroth's Malice Beta
681,Kirin Hoop Gamma
686,Dante's Belt Alpha
691,Empress Coil Alpha
696,Empress Coil Beta
702,Vaal Hazak Coil Gamma
707,Drachen Coil Alpha
712,Azure Starlord Tassets Alpha
717,Kulve Taroth's Malice Gamma
722,Empress Coil Gamma
727,Xeno'jiiva Spine Gamma
732,Zorah Spine Gamma
737,Nergigante Coil Gamma
742,Kushala Cocoon Gamma
747,Kaiser Coil Gamma
752,Bone Coil Alpha +
757,Alloy Coil Alpha +
762,Vespoid Coil Alpha +
767,Hornetaur Coil Alpha +
779,Jagras Coil Alpha +
784,Tzitzi Coil Alpha +
789,Girros Coil Alpha +
794,Dodogama Coil Alpha +
799,Kulu Coil Alpha +
804,Pukei Coil Alpha +
809,Pukei Lagoon Coil Alpha +
814,Barroth Coil Alpha +
819,Jyura Coil Alpha +
824,Beo Coil Alpha +
829,Kadachi Coil Alpha +
834,Viper Kadachi Coil Alpha +
839,High Metal Coil Alpha +
844,Banbaro Coil Alpha +
849,Anja Coil Alpha +
854,Fulgur Coil Alpha +
859,Rathian Coil Alpha +
864,Rath Heart Coil Alpha +
869,Lumu Coil Alpha +
874,Lumu Phantasm Coil Alpha +
879,Baan Coil Alpha +
884,Bone Coil Beta +
889,Alloy Coil Beta +
894,Vespoid Coil Beta +
899,Hornetaur Coil Beta +
911,Jagras Coil Beta +
916,Tzitzi Coil Beta +
921,Girros Coil Beta +
926,Dodogama Coil Beta +
931,Kulu Coil Beta +
936,Pukei Coil Beta +
941,Pukei Lagoon Coil Beta +
946,Barroth Coil Beta +
951,Jyura Coil Beta +
956,Beo Coil Beta +
961,Kadachi Coil Beta +
966,Viper Kadachi Coil Beta +
971,High Metal Coil Beta +
976,Banbaro Coil Beta +
982,Anja Coil Beta +
987,Fulgur Coil Beta +
992,Rathian Coil Beta +
997,Rath Heart Coil Beta +
1002,Lumu Coil Beta +
1007,Lumu Phantasm Coil Beta +
1012,Baan Coil Beta +
1017,Artian Coil Alpha +
1022,Artian Coil Beta +
1027,Clockwork Coil Alpha +
1032,Clockwork Coil Beta +
1037,Ingot Coil Alpha +
1042,Ingot Coil Beta +
1048,Guildwork Waist Alpha +
1053,Guildwork Waist Beta +
1058,Ruinous Coil Beta +
1063,Ruinous Coil Alpha +
1068,Silver Solcoil Beta +
1073,Silver Solcoil Alpha +
1078,Golden Lunecoil Beta +
1083,Golden Lunecoil Alpha +
1088,Zinogre Coil Beta +
1093,Zinogre Coil Alpha +
1098,Garuga Tassets Beta +
1103,Garuga Tassets Alpha +
1108,Zorah Spine Beta +
1113,Zorah Spine Alpha +
1118,Shara Ishvalda Coil Beta +
1123,Shara Ishvalda Coil Alpha +
1128,Tentacle Coil Beta +
1133,Tentacle Coil Alpha +
1138,Kirin Hoop Beta +
1143,Kirin Hoop Alpha +
1148,Kushala Cocoon Beta +
1153,Kushala Cocoon Alpha +
1158,Kaiser Coil Beta +
1163,Kaiser Coil Alpha +
1168,Fellshroud Coil Beta +
1173,Fellshroud Coil Alpha +
1178,Rimeguard Coil Beta +
1183,Rimeguard Coil Alpha +
1188,Guild Palace Coil Beta +
1193,Guild Palace Coil Alpha +
1198,Esurient Faulds Beta +
1203,Esurient Faulds Alpha +
1208,Pride Coil Beta +
1213,Pride Coil Alpha +
1218,Damascus Coil Beta +
1223,Damascus Coil Alpha +
1228,Dober Coil Beta +
1233,Dober Coil Alpha +
1238,Black Belt Tassets Beta +
1243,Black Belt Tassets Alpha +
1248,Rex Roar Coil Beta +
1253,Rex Roar Coil Alpha +
1258,Tigrex Tassets Beta +
1263,Tigrex Tassets Alpha +
1268,Brachydios Faulds Beta +
1273,Brachydios Faulds Alpha +
1278,Acidic Glavenus Coil Beta +
1283,Acidic Glavenus Coil Alpha +
1288,Golden Obi Beta +
1293,Golden Obi Alpha +
1298,Glavenus Faulds Beta +
1303,Glavenus Faulds Alpha +
1308,Nargacuga Faulds Beta +
1313,Nargacuga Faulds Alpha +
1318,Uragaan Coil Beta +
1323,Uragaan Coil Alpha +
1328,Lavasioth Coil Beta +
1333,Lavasioth Coil Alpha +
1338,Death Garon Coil Beta +
1343,Death Garon Coil Alpha +
1348,Odogaron Coil Beta +
1353,Odogaron Coil Alpha +
1358,Hoarcry Coil Beta +
1363,Hoarcry Coil Alpha +
1368,Legiana Coil Beta +
1373,Legiana Coil Alpha +
1378,Diablos Nero Coil Beta +
1383,Diablos Nero Coil Alpha +
1388,Diablos Coil Beta +
1393,Diablos Coil Alpha +
1398,Rath Soul Coil Beta +
1403,Rath Soul Coil Alpha +
1408,Rathalos Coil Beta +
1413,Rathalos Coil Alpha +
1418,Barioth Faulds Beta +
1423,Barioth Faulds Alpha +
1428,Empress Coil Beta +
1433,Empress Coil Alpha +
1438,Claire's Torso Alpha +
1443,Leon's Torso Alpha +
1448,Stygian Coil Alpha +
1453,Stygian Coil Beta +
1458,Safi Crested Belt Alpha +
1463,Safi Crested Belt Beta +
1468,Oolong Waist Alpha +
1472,Buff Waist Alpha +
1480,Origin Coil
1486,Queen Beetle Elytra
1491,Butterfly Elytra M
1496,Queen Beetle Elytra Alpha
1502,Queen Beetle Elytra Beta
1507,Diver's Belt
1513,Diver's Belt Alpha
1518,Harvest Hoja
1523,Harvest Hoja Alpha
1528,Orion Coat
1533,Orion Coat Alpha
1538,Aloy's Torso Alpha
1543,Aloy's Torso Gamma
1548,Ryu's Torso
1553,Ryu's Torso Alpha
1558,Sakura's Skirt Alpha
1563,Geralt's Torso Alpha
1568,Ciri's Torso Alpha
1575,Astral Skirt Alpha +
1580,Banuk Coil Alpha +
1588,Shield-Weaver Torso +
1593,Defender Waist Alpha
1598,Guardian Coil Alpha +
1603,Grand God's Peer Belt Alpha +
1608,Grand God's Peer Belt Beta +
1613,Brachydium Faulds Alpha +
1618,Brachydium Faulds Beta +
1623,Rose Belt Alpha +
1628,Kulve Taroth's Malice Alpha +
1633,Kulve Taroth's Malice Beta +
1638,Tentacle Coil Gamma +
1642,Escadora Might Alpha +
1647,Escadora Might Beta +
1652,Frostfang Coil Alpha +
1657,Frostfang Coil Beta +
1662,Passionate Belt Alpha +
1667,Dragonbarbs Alpha +
1672,Dragonbarbs Beta +
1677,Demonlord Leather Belt Alpha +
1682,Rimeguard Coil Gamma +
1687,Azure Age Obi Alpha +
